,Title,ParentGame,ReleaseDate,Team,Rating,xListed,xReviewed,Platforms,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
180,Kingdom Hearts,,"Mar 28, 2002","['Square', 'Disney Interactive Studios']",3.6,1400,573,['PlayStation 2'],"['Adventure', 'RPG']","Kingdom Hearts is an action role-playing game developed and published by Squaresoft for the PlayStation 2. It is the result of a collaboration between Square and The Walt Disney Company. The game combines characters and settings from Disney's animated features with those from the Final Fantasy series, developed by Square.
             

              Kingdom Hearts was a departure from Square's standard role-playing games by introducing a substantial action-adventure element. In addition, it has an all-star voice cast which included many of the Disney characters' official voice actors. Kingdom Hearts was longtime Square character designer Tetsuya Nomura's first time in a directorial position.
             

              The game uses an experience based progression system, with experience gained by defeating foes. Experience gained rises in relation to the strength of the foe, and is consistent for each enemy over the course of the game. Levels are gained with experience, and provide increases to stat attributes in strength, defence, magic, hit points, magic points and ability points, with a new, predetermined ability unlocked approximately every four levels.","['O começo da minha franquia favorita <3', 'ost desse jogo nunca decepciona', 'Un peu timide par rapport aux suites mais un classique du JRPG', 'perdi meu save com 10 hrs de jogo entao nunca mais vou abrir...   mas o jogo é legal', ""Idk I can't exactly describe the feelings I had while playing this but it all just felt very special. I very much LOVED the soundtrack and have been listening to it ever since I had first played a while back."", 'awkward but fun disney crossover from before the series became the insanely weird shit it is now']",13000,287,2200,1100
181,Resident Evil 4,,"Mar 24, 2023","['Capcom', 'Capcom Development Division 1']",4.6,1600,1100,"['Windows PC', 'PlayStation 4', 'PlayStation 5', 'Xbox Series']","['Adventure', 'Puzzle', 'Shooter']","Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline,
              
              and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect.","['The very first impression of the game is awesome. I was playing on a PC and I was pleased with the optimization, because this year there are a lot of AAA projects that stood out for their optimization. I played the original game for a short time and I can immediately say that the convenience in managing the remake is more to my liking. The graphics were as always on the level. Some locations and weapons have changed. Just like in all parts, the weapons here are very good, how you feel it, how it looks. The complexity, as for me, is much worse than in other parts of Re. Also another of the problems were boss fights, they seemed to me too light and of the same type. There was only one where it was really interesting. The plot is like an ordinary action movie, where the main character saves the world and there is nothing supernatural in it, but it still catches. I advise everyone to play this wonderful game sometime, because there are practically no minuses in it and after passing you will get a lot of fun and dopamine)', 'really good (ignore the ""low"" rating, my rating scale is very different from everyone else\'s) but there were a few questionable design choices and gripes left unanswered from the original that prevented it from reaching its full potential.', 'Five years from now somebody is going to make a 7 hour video essay on this game titled ""Resident Evil 4 Remake: No Thanks Bro"" and then everyone will hate it : (', 'CARA ESSE JOGO PQP, ESSE JOGO', 'Que jogo do caralho moleque, o que eu mais amo nele é como os caras simplesmente largaram mão do horror mesmo, o que sinceramente pra mim tornou tudo muito melhor, esse é provavelmente meu re preferido, tudo nele é tão maravilhoso e tão divertido ao mesmo tempo, amo as bossfights, amo os designs, as músicas são espetaculares, a gameplay é perfeita, esse jogo simplesmente não tem erros, facilmente meu jogo preferido do ano até agora, seja você fã de re ou não recomendo demais jogar isso, foram 26 horas divertidas pra caralho, o jogo me prendeu do começo ao fim, e quando ele começava a me entediar um pouco... BOOM toma explosão desgraça monstro bicho gente explodindo foda-se, perfeito demais vtnc, Leon Kennedy que homem perfeito (recomendo jogar no intenso, joguei nele e mesmo assim muitas partes foram tranquilas, mas em outras dificuldades é bem fácil)', 'Imagine doubting CapGod. The madmen did it. They made Resident Evil 4 even better. Reworking the combat to make the knife a vital component is one of the most genius decisions I could think about.']",4500,754,1600,3000
182,DmC: Devil May Cry,,"Jan 15, 2013","['Ninja Theory', 'Capcom']",3.0,494,314,"['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'Brawler']","DmC: Devil May Cry is the fifth game in the hack-and-slash third-person action series and the first not largely developed by Capcom. This title is a reimagining of the series, with the same protagonist Dante, but set in an alternate universe. The Dante in this game is very different from before, doing away with the trademark white hair and altering the main character as well as the game's tone with a much more Western influence. The gameplay is still largely identical as Dante engages many opponents with a fast fighting style, stringing together combos and hits in quick succession.","['The narrative is laughably bad but the combat is some of the best in the series. It only took me around 7 hours to beat on devil hunter after playing through each game in release order. I almost skipped this game after beating 4 cus i wanted to go straight onto 5, but I would recommend against this. As the game is definitely on the shorter side its really easy to quickly knock it out in one or 2 days, and while this takes place in a completely different world than the other games the combat is so incredibly fun that I\'d recommend playing it just for that. In a way its a game that\'s ""So bad its good"" and some of the funniest and most out of pocket moments in the franchise come from this. Ninja theory were smoking crack when they made this game and it suprisingly works', 'O jogo sofreu muito hate e com razão, por mudar totalmente a história, mas eu particularmente curti muito o jogo. Não sou muito fã da saga então não liguei muito para o aspecto da história em si, mas a gameplay é espetacularmente gostosa. Recomendo a todos que gostam de Hack N Slash.', 'Everything aside from the gameplay and level design is atrociously terrible.', ""i used to think this game was fine until i played Devil May Cry 3 and now it's embarrassing that they thought they had something here. it could've been a 3 star original IP in the same vein as something like Dante's Inferno but attaching it to the Devil May Cry name and failing in every aspect when it comes to stylish character action was certainly a choice."", 'As much as I have to begrudgingly thank this game for giving DMC5 certain ideas that would blossom into great mechanics, enemies, bosses, etc. later on, I also gotta say: fuck this game.', ""This game had a rough go of it at release. Its director was flippant with the existing fanbase, and there was a lot of fear that the gameplay would be compromised (despite Itsuno's extremely heavy involvement). The final product was at 30fps unfortunately, but it was nearly intact from DMC3 and DMC4 in terms of what you were actually capable of doing. The frame-rate is actually fine if you were playing it on PC (unlocked even). The only real issue with it is that soft-locks aren't as good as hard-locks in games with crowd-control. The game did well ditching the heavy recycling of stages prevalent in the previous games, and adding platforming-challenges to it in lieu of the awkwardly implement Resident Evil style 'shove silly item into silly hole to open a door' puzzles. The mechanical-execution barrier as lowered, and fans of DMC3/DMC4 were bothered by this.""]",6800,70,1300,494
183,Kingdom Hearts III,,"Jan 25, 2019","['Square Enix', 'Disney Interactive Studios']",3.5,1200,557,"['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'Brawler', 'RPG']","Kingdom Hearts III is the third main installment in the Kingdom Hearts series developed and published by Square Enix. It was initially released January 2019 for the PlayStation 4 and the Xbox One. An expansion, Kingdom Hearts III Re Mind was released in January 2020.
             

              The story takes place after the events of Kingdom Hearts 3D: Dream Drop Distance. It features an older Sora as the main protagonist, who sets forth on a new adventure to search for seven guardians of light in an attempt to stop Xehanort from bringing about a second Keyblade War. Sora is joined by Donald Duck, Goofy, Mickey Mouse, Riku, Kairi, and others. Along the way, Sora travels to many worlds from Disney and Pixar intellectual properties, and cross paths with the real Organization XIII.
             

              Kingdom Hearts III features hack and slash combat reminiscent of Kingdom Hearts II, with elements from later handheld entries, allowing the player to control Sora in a party with Donald, Goofy, and up to two other Disney characters from the various worlds he visits. A major addition compared is the Formchange mechanic, which allows his currently equipped Keyblade to grant him special abilities and change shape. Sora can equip up to three Keyblades at a time, and cycle between them to use his abilities. Another addition is the Attractions mechanic, which occasionally allows Sora to summon and pilot a vehicle inspired by Disney theme park attractions. At certain points throughout the game, the player will be able to control other characters.","['I quite liked this one, but it\'s certainly not without its faults. I was extremely happy to see large open spaces, and mostly fluid transition scenes, as opposed to a myriad of small connected rooms. The action felt great, and the extra power afforded this game via the PS4 made for fantastic visuals and spell effects. The game is probably one of the easiest in the series. The ""Disney Ride"" attacks did a great job of taking any seriousness and chucking it out the window, and didn\'t feel like they fit in with the rest of the game. The story in this one also isn\'t that great, what with being a) all over the place, and b) going to Akira Toriyama levels of ""lol don\'t worry, nobody really dies"". Had a good time with this one, but there were more enjoyable ones earlier in the franchise.', ""100%, quelques points ou je trouve que c'est dommage mais ça reste un de mes jeux préférés"", 'man.', 'Hard to understand the story.', ""Despite all the problems I have with KH3, I won't deny that it's a very fun and entertaining game just like the previous ones. I'm glad that some of the magic that KH1 and KH2 had, but in Spin-off was lost is back here. It's an evolution of what was seen in the PS2/PSP/3DS games thanks to the fact of being developed for a more modern console like the PS4, now the worlds are not simple small rooms interconnected with each other, but now they feel like big areas that we can explore at our leisure thanks to the return of the flow-motion of KH3D, but now improved and a little more balanced so as not to break the levels. Anyway, although the combat is very well polished and could have been the best of the series, due to the approach they wanted to give it, it feels like a super limited version of KH2's combat, which makes me not end up loving it, and as for the story, this was worse than a disappointment, although I admit that it might have been my fault since I tried to take it seriously, honestly it's a shame that the writers didn't put more effort into this section since all the problems/solutions in the plot appear in the most insipid way possible, I think it takes away all the meaning that the scenes and story of this game could have had, but I'll talk more in detail about this later."", 'balenceado e uma obra de arte']",8600,218,2800,1200
184,Super Mario Galaxy,,"Nov 01, 2007","['Nintendo', 'Nintendo EAD']",4.3,2900,1200,['Wii'],"['Adventure', 'Platform']","A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside.","['wouldve been 5 stars if not for the fucking red mario purple coin collection level (the only thing left for completion) that took me for fucking ever.. legitimately over years. but whatever. sound track is really awesome. visuals are awesome. its like, the definitive mario level game tbh, none of the other ones are as fun, especially odyssey.', 'Siento que son muchas las razones por las que este juego es algo único dentro del mito de un personaje como Mario y es el conseguir evocar el vacío y existencialismo que causa un ambiente como el Espacio sin olvidar que se trata de una Aventura infantil y sin dejar de lado la vibra alegre y divertida de los variados mundos que conforman una galaxia que resguarda el más vivido lamento de una niña que tuvo crecer forzosamente para afrontar un destino lleno de tristeza pero con la bendición de poder ser una madre.', 'fofo !', 'incrível', ""It's just the goat idk what more I can say"", 'bold and expansive, super mario galaxy presents a large-scale platforming experience that slingshots mario into the deepest, darkest depths of space. rather than wallow in its emptiness, we the player are greeted with the warmth of the comet observatory and its family.']",22000,528,3400,1300
185,Marvel's Guardians of the Galaxy,,"Oct 26, 2021","['Square Enix', 'Eidos Montréal']",3.8,1200,704,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'RPG', 'Shooter']","Fire up a wild ride across the cosmos with a fresh take on Marvel’s Guardians of the Galaxy. In this action-adventure game, you are Star-Lord leading the unpredictable Guardians from one explosion of chaos to the next. You got this. Probably.","['Criminally underated, tho could be more polished', ""I got maybe 2/3 of my way through it. The characters were fun and the story was okay, but the combat didn't excite me and the fun characters just weren't enough to keep it up."", ""Marvel's Guardians of the Galaxy > All Guardians of the Galaxy Movies.\n                     \n                     Change my Mind."", ""It's a flarking fantastic game. Graphics are good, the story is sublime and combat is captivating. Give it a go, Guardians of the Galaxy is a great game!"", 'Chris Pratt is Star-Lord. Shut your goofy irritating ass up bitch!', 'Hab war noch nicht durch aber kenne das ganze game']",5700,465,2300,1400
186,Resident Evil 2,,"Jan 21, 1998","['Capcom', 'Factor 5']",4.2,1300,279,"['Windows PC', 'Nintendo GameCube', 'PlayStation 3', 'PlayStation', 'Nintendo 64', 'PlayStation Vita', 'Dreamcast', 'PlayStation Portable']","['Adventure', 'Shooter']","Resident Evil 2 is a sequel to the first Resident Evil title. Like the previous game in the series, Resident Evil 2 is a 3D action-adventure using three-dimensional polygon characters over two-dimensional pre-rendered backgrounds, with the action viewed through a variety of cinematic fixed camera angles in each room. Players can choose to play as one of two possible characters, each goes through the same initial scenario but with differences in the type of weaponry they find and the people they meet along the way.","['Out of the original three\n                     \n                      Resident Evil\n                     \n                     games,\n                     \n                      Resident Evil 2\n                     \n                     is the most packed to the brim with content. The zapping system helps your playthrough feel unique, and I love how diverse the four main scenarios are. It might be a bit easy, but that makes it the most accessible of these original games, and the easiest to recommend to newcomers.', 'I would say this is Resident Evil with the most Hollywood ending, but I still give that title to RE4. Very consistent in gameplay, I loved the gimmick of the scenarios.', 'Resident Evil 2 is a tried and true classic survival horror title. Coming off from the original Resident Evil, it makes significant improvements in gameplay, storytelling, presentation, and just about everything else to make the streets of Raccoon City ever more terrifying and ever more fun.', ""I didn't really dare to beat this game I always requested for help from my older siblings and would rather watch them play this but I remember the entirety of the game because I watched them beat it, the atmosphere this game had is vastly superior to what the Remake had."", 'did some replays\n                     \n                     im thinkin its goated', 'You once again stepped into the world of survival horror..']",6000,68,1200,657
187,Donkey Kong Country 2: Diddy's Kong Quest,,"Nov 21, 1995","['Nintendo', 'Rare']",4.2,1300,374,"['Wii U', 'Super Famicom', 'SNES', 'Wii', 'New Nintendo 3DS']","['Adventure', 'Platform']",Donkey Kong Country 2: Diddy's Kong Quest is the sequel to Donkey Kong Country. It was developed by Rare and is one of the best selling Super Nintendo games.,"['lindo', '8\\10\n                     \n\n\n                      Released on\n                     \n                     : SneS\n                     \n\n                      played on\n                     \n                     : PC (Mesen)', 'literally the perfect 2D-platformer, i think. the visuals, the level-design, the characters (in terms of what they deliver to the gameplay), is all great. the music is just the cherry on top of the already amazing cake.', 'Too hard for its own good, and Dixie completly outshines Diddy in his own title but damn this game has some fantastic level design. Every level is its own thing and does it well and for a game of that age, thats impressive.', ""I prefer the first game by a very slight margin due to a better difficulty balance, but I still think this is a fantastic platformer that manages to expand on what the first game established and add even more. One of the more notable aspects to me is the wide variety of animal buddies as well as the fun bonus rooms each level provides. I'm really glad I got around to finally playing this, easy recommendation."", 'One of the best platformers not only on the super nintendo, but ever']",7100,123,1700,494
188,Shovel Knight,,"Jun 26, 2014",['Yacht Club Games'],4.0,807,316,"['Windows PC', 'Mac', 'Wii U', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Nintendo 3DS', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch']","['Adventure', 'Indie', 'Platform']","Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly!
             

              But, between Shovel Knight and his beloved stands a cadre of villainous knights. These terrible foes, known as The Order of No Quarter, have been dispatched to prevent Shovel Knight from reaching the Enchantress, and will pursue their mission at any cost. If you love games with perfect platforming, beautiful art, infectious music, crazy bosses, humor and levity, and real heart… Shovel Knight is for you!","['love', 'weirdly destroyed by its sequels being so much better that it makes this game feel slower and less fun. still good', 'My ass sucks at platformers, died too many times at the simplest things, but other than that, yeah this game is great.', 'king', 'Steel thy shovel!', 'Fantastic game that captures the style but not the essence (thank God) of old platformers.']",8900,150,2000,1300
189,The Legend of Zelda: A Link Between Worlds,,"Nov 22, 2013","['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.1,1400,453,['Nintendo 3DS'],"['Adventure', 'Puzzle', 'RPG']","The Legend of Zelda: A Link Between Worlds is the first Zelda game made exclusively for the Nintendo 3DS. It is an indirect sequel to A Link to the Past with the same version of Hyrule but with new characters and gameplay elements. Unlike the series' tradition, many areas of the world are accessible from the beginning of the game and the dungeons can be visited in any order. Puzzles are encountered not only in dungeons but also in the open world, a part of them revolves around the game's 3D visual effect. The 3DS touch-screen display shows the world, dungeon or map depending on where you are.","['This is the best top down Zelda, I was compelled to 100% it, and I still want more, such a well rounded game, such fun dungeons and progression, a Must Play!', 'wow i love sports games\n                     \n                      (\n                     \n                     the baseball minigame in the legend of zelda: a link between worlds)', 'Best 2D Zelda ever made.', 'Le meilleur zelda ""en vue du dessus"" et un des meilleurs tout court', ""It's a top down Zelda game in the same universe as A Link to the Past and it's a faithful reimagining. The game is smooth and seamless when in combat and has enough unique ways to defeat the enemies in the overworld. The wall-merge mechanic opens up a ton of new ways to explore, solve puzzles, go through dungeons, and collect goods. The item rent-to-own feature is 1000 times better than locking the item in a dungeon and only having it after certain parts of the game. Story is obviously Nintendo-baby level but it doesn't mean it's bad, you're playing the game for the world and puzzles. The exploration is addicting and all the combat scenarios are the most fun you can have in a 2D Zelda game. Goated game, top 3 Zelda game overall."", 'A Zelda game being good? Who would have thought?']",11000,174,2600,1200
190,Shin Megami Tensei III: Nocturne - HD Remaster,,"Oct 28, 2020","['Ghostlight Ltd.', 'Atlus']",4.0,482,216,"['Windows PC', 'PlayStation 4', 'Nintendo Switch']","['RPG', 'Turn Based Strategy']","200X. Everyday life suddenly came to an end. Tokyo is transformed into a world of demons following an anomaly known as the ""Conception"". This is the story of our protagonist's journey through a changed Tokyo in his new body, and of he and his friends' trials and tribulations as they seek to recreate the world.","[""(This short review is tailored towards the HD remaster of Nocturne). Good old Nocturne, though I do believe the eerie, lone, and abstract nature is toned down with the very... VERY bright lighting engine used by this remaster, in some egregious examples I think it looks significantly worse than the PS2's unique lighting which sucks to say. After so many repeated playthroughs on emulator, PS2, emulator again. Replaying this version is.. not a bad way to start.. yet there is merit playing the original. (Plus you don't gotta pay an extra 10 dollars for Dante, thanks Crapcum). Also the music is still bit crushed to hell like in the PS2 version which ironically fit MORE on the PS2, hearing the low quality music with the higher resolution textures and presentation.. weird, very weird and out of place. On the PS2, it fits (and makes sense since it’s the fucking PS2). Not my preferred method of playing the game but one I would.. somewhat reluctantly recommend out of convenience to those who don't want to deal with emulators. At least you get Raidou without having to mod the base game. Even with manual skill inherent, if you have a method of playing the PS2 version then go with that one, that’s the way I played the game and still man.. that game gives me such a feeling of dread. I know it sounds like I have nothing positive to say about the remaster, and other than translation improvements to demon names and being able to choose what skills you can inherit which is hardly something that affected the game honestly.. I mean it’s still Nocturne so."", 'Despite how old this game and how dated some of the mechanics are this is genuinely one of my favorite games of all time. For a game originally released in 2003, this blew me out of the park. A must play in my book but does require a guide to get some of the endings youd want.', 'Should have played the original ps2 release of this game. While I loved the atmosphere, many different demons and characters, and music in this game, the combat does shine above all else. It isnt as hard as everyone says it is but the game lacks a tutorial that teaches you buffs and debuffs stack and the dungeon designs become boring after youve seen the third cave in the game. Enemies often crit you which can make you lose hours of progress thanks to the broken (in a good and bad way) battle system that spits in your face whenever it feels like.', ""I went for the true demon ending on normal. The kalpas are pure suffering and the game can just decide it wants to be mean sometimes. Good music and atmosphere. Traveling around the map can be a bit of a pain sometimes. Make sure you get a mod for uncompressed music if you're playing on PC."", 'Me gusta sus facciones y worldbuilding, pero como suele ser con estos juegos el combate sólo se pone interesante durante las peleas con bosses y aquí los random encounters son excesivos (y aburridos, el 90% del tiempo puedes poner el juego en piloto automático). El remaster te da otra opción para grindear, pero necesitas un item para disminuir los random encounters. Con tanto brillo y bloom se ve peor que el original y la versión de Switch está muy mal optimizada.', ""This has been one of the most mysterious title I have ever played.\n                     \n                     The presentation is excellent. The soundtrack stands out solely for its variety and sass. I particularly loved the normal battle theme. Storytelling and themes are the foundation of this title.\n                     \n                     However, I did not have fun. Gameplay relies on repetition. Dungeons on top of Dungeons, and occasionally some dialogues that move the story forward, pointing to the next location to visit. On the other hand, this may be an aspect that reflects the desolation felt by the characters.\n                     \n                     I enjoyed this game for the most part, since it was new and felt fresh. But once I learned how to build the party and how to manage resources it started to feel a little too easy. Maybe I'll try SMT5. I would like to see how Atlus improved over the years.""]",2000,404,2200,1300
191,Kingdom Hearts II Final Mix,,"Mar 29, 2007","['Buena Vista Games', 'Square Enix']",4.5,747,314,['PlayStation 2'],"['Adventure', 'Brawler', 'Platform', 'RPG', 'Shooter']","In September 2006, Square Enix announced Kingdom Hearts II Final Mix, featuring new scenes and gameplay elements. Like the first re-release, this version would combine English audio with Japanese text and also use the ""Sanctuary"" theme song instead of ""Passion"". New cutscenes, however, used Japanese voice acting, as they mostly featured Organization XIII members from Kingdom Hearts: Chain of Memories who did not yet have English voice actors; these scenes were later re-dubbed into English for the HD 2.5 Remix release.","['Peak Kingdom Hearts.', 'Em Kingdom Hearts II começamos com um novo protagonista, Roxas.\n                     \n                     Roxas é parecido com Sora, ele vive em uma nova cidade chamada twilight town que é original de Kingdom Hearts, o único modo de descrever esse jogo é como um sonho distante, uma memoria, uma nostalgia, algo muito bom que pode voltar ou não.\n                     \n                     Eu já sentia isso no 1, mas nesse jogo se intensificou ainda mais.\n                     \n                     É incrível, cada pedaço desse jogo é feito para ser perfeição, desde o seu combate caprichadíssimo até a sua história confusa.\n                     \n                     Esse jogo além de ser uma ótima experiencia pelo combate do jogo e sua gameplay, ele também passa algo que muitos jogos não passam.\n                     \n                     A volta da inocência da infância, e uma memoria dos momentos bons de volta, amizades, promessas, reencontros e principalmente.\n                     \n                     Memorias', 'joguei a versão de ps2 quando criança, e mesmo sendo uma pessoa que esquece fácil de tudo, nunca me esqueci do impacto que esse jogo me causou. história linda, sistema de combate genial e uma trilha emocionante, e rejogar ele nessa edição foi uma das sensações mais agradáveis que tive nos últimos anos.', 'Yes', 'Estuans interius, ira vehementi, estuans interius, ira vehementi, SEPHIROT', 'tldr: critical mode saves this, and being waay too combat focused hurts it in many ways and makes it kind of monotonous']",4600,102,785,297
192,Mega Man X,,"Dec 17, 1993","['Rozner Labs Software Group', 'Nintendo']",4.1,1300,448,"['Wii U', 'iOS', 'Super Famicom', 'SNES', 'Wii', 'Nintendo 3DS', 'PC DOS', 'New Nintendo 3DS']","['Adventure', 'Platform', 'Shooter']","Near the end of his life, Dr. Light succeeds in creating the first of a new series of robots which will change the world. Able to think and make decisions, this new robot holds great danger as well as great possibilities. Fearful of the possible consequences of unleashing his creation on the world, Dr. Light decides to seal him in a capsule and test his systems until they are totally reliable. The future will have to decide his fate...
             

              Released from the capsule by Dr. Cain, ""X"" is born into the world of the future where the robot rebellions are a thing of the past. But when Dr. Cain tries to implement Dr. Light's designs into a new series of Reploids, something goes hideously wrong. Now the future lies on the brink of destruction and a new Mega Man must emerge to face Sigma and his forces before the human race is wiped from the planet!","['I could probably wax poetic about how this is a perfect example on how to successfully rework an already-solid formula for a new console generation for a good number of paragraphs, but I think ""Mega Man X is good"" isn\'t a statement controversial or unique enough to warrant that sort of rambling.', 'Probablemente uno de los juegos mas influyentes para los side scroller de plataformas, tiene un diseño de niveles que cualquiera envidiaría.', 'I love this game. I love how much detail and care went into it, I love the gameplay mechanics, I love the soundtrack, I love the sound effects, I love beating it again and again and again and again, I just fucking love it man', 'This is the best in the MMX series.\n                     \n                     Fun levels. Fun boss fights. Decent story. Fun subweapons. Fun upgrades, etc.', 'This shit rocks dude (get it? Because rock man and like rocks do you get it?                                                  Please clap)', 'Replaying this bad boy made me appreciate it a whole lot more than before. One of the best Mega Man games due to it having perfect pacing, perfect movement, and perfect boss fights. Sigma has to be one of my favorite final boss fights ever made.']",7400,87,1200,416
193,Metal Gear Solid 3: Snake Eater,,"Nov 17, 2004","['Konami Computer Entertainment Japan', 'Konami']",4.5,1700,504,['PlayStation 2'],"['Adventure', 'Shooter', 'Tactical']","Metal Gear Solid 3: Snake Eater is the prequel to the entire Metal Gear series. Most of the series' defining gameplay elements have been carried over and as before, Snake must use stealth and wits rather than brute force to infiltrate enemy zones and eliminate his major adversaries. Unlike the previous games, this installment takes place in a large outdoor jungle. Snake is able to use camouflage, climb trees, hide in tall grass or wear clothes that make him less noticeable.","['Video games are great because they combine the ability of computer hardware to simulate  and people’s imaginations/fiction', 'My second favourite game of all time, and pretty much only not my favourite on a technicality. Everything in this game is incredibly executed, one of the most fun and cohesive games ever made.', 'Probably one of the best games ever made.', 'stealth game fun weehaw shoot', 'Completely engrossing, amazing gameplay, and unique mechanics. Another classic', 'bravo kojumbo']",9800,130,2600,1400
194,The Evil Within,,"Oct 14, 2014","['Bethesda Softworks', 'Tango Gameworks']",3.4,713,256,"['Windows PC', 'Xbox 360', 'PlayStation 4', 'PlayStation 3', 'Xbox One']","['Adventure', 'Shooter']","The Evil Within is an action survival horror game that draws inspiration from the Resident Evil series with a grimy look with exaggerated gore. The game was directed by Shinji Mikami, the creator of Resident Evil & a former Resident Evil 4 director. You must navigate through the hostile game world with limited resources, this requires to use your wits to survive and correctly manage your resources as you encounters various terrors and dangers throughout the game. The environments may also change without warning in real-time based on your actions, adding more variables to the game.","['https://youtu.be/eIX_sTl3jLI', ""J'ai bien aimé l'endurance du perso quand tu peux courir que 2 secondes et qu'il prend 10 secondes pour reprendre son souffle mdrrrr.\n                     \n                     Vulgaire mélange de mécaniques de Outlast TLOU et Resident Evil."", ""This is just a mediocre game. Plain and simple. Nothing here works for me. I love horror games that require exploration of elaborately designed levels, but here, it's just straight corridors with levels strung together. The combat is boring, the artstyle is so painfully 2010s that it hurts my eyes. A lot of people say the sequel is much better but after playing this, I don't even want to try that."", 'Bad physics', 'Can I be....completely honest with you? Like 100%? I went in expecting an underappreciated masterpiece. Obviously, if you\'ve played it- didn\'t get that. This game is....really inconsistent and broken. It\'s full of harmful stereotypes of the mentally ill, which if you know who I am, you know that\'s something I can\'t really abide under any circumstances, so you\'re probably asking: ""Why the positive score, then, asshole?""', 'A experiência de survival horror definitiva, arrisco dizer que, em questão puramente de gênero, é o melhor jogo já feito. The Evil Within brinca com seus sentimentos, fazendo-os florescer em sua pele, causando arrepios, medo e desconforto. O jogo várias vezes faz você se sentir como um impostor em um local que você deseja ir embora, mas sabe que não pode, pois Sebastian e você estão introduzidos em um ambiente que ambos sabem que não é seu lugar. A busca pela verdade e pelos amigos te deixam com o peso na consciência de saber que se tentar fugir, isso irá te consumir. Mikami não só usou sua total criatividade de maneira inteligente, mas também interligou sensações humanas com peças chaves da história.']",5200,157,2000,892
195,Super Mario World,,"Nov 21, 1990","['Nintendo', 'Nintendo EAD']",4.2,2300,879,"['Wii U', 'Super Famicom', 'SNES', 'Wii', 'Nintendo 3DS', 'New Nintendo 3DS']","['Adventure', 'Platform']","A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.","['The best platforming in a mario game', 'Got 96* and still not bored', 'Fait et refait et refait et refait', 'É o Mario 2D definitivo. Tudo aqui expira uma aura tão astral, quase sagrada: os pixels, modelos, músicas, powerups. O jogo gerou um impacto cultural absurdo, responsável por formar boa parte do que entendemos da identidade do maior símbolo dos games, Mario.', 'Very fun.', 'One of the best games ever made right here. This is perfection in video game form.\n                     \n                     The ROM hacks are a blast, too.']",19000,234,1900,495
196,Ghost of Tsushima,,"Jul 17, 2020","['Sucker Punch Productions', 'Sony Interactive Entertainment']",4.1,1500,647,['PlayStation 4'],"['Adventure', 'Brawler', 'RPG']","Uncover the hidden wonders of Tsushima in this open-world action adventure. Forge a new path and wage an unconventional war for the freedom of Tsushima. Challenge opponents with your katana, master the bow to eliminate distant threats, develop stealth tactics to ambush enemies in order to win over the mongols.","['This game is to the PS4 that the last of us was to the PS3. a master class of a game that uses the best elements from the generation to create an experience that I cant stop thinking about years later.', 'Will finish this someday', 'Great graphics, animation, environmental effects, and gameplay atmosphere.', 'Excellent in all respects', 'The most overrated game of all time.\n                     \n                     If you want a truly good piece of Samurai media, check out Harakiri, Vagabond, or any Akira Kurosawa film.', 'THAT ENDING OH MY GOD']",9300,730,3800,3300
